Question,co:ltd,co:plc,sh,lang:de,lang:en
How do you find out shareholders of a company?,0,0,1,0,1
How do I find a company shareholder?,0,0,1,0,1
Is Amazon a public company?,0,1,0,0,1
Is public company a government company?,0,1,0,0,1
Is Apple a public company?,0,1,0,0,1
Shareholders' rights in private and public companies,1,1,1,0,1
Can I be shareholder of a limited company?,1,0,1,0,1
I want to become shareholder of a limited company.,1,0,1,0,1
Can I be shareholder of a limited public corporate?,0,1,1,0,1
Can my company be shareholder of a limited company?,1,0,1,0,1
Can my company be shareholder of a public corporate?,0,1,1,0,1
Kann ich Gesellschafter einer GmbH sein?,1,0,1,1,0
Wer kann Gesellschafter einer AG sein?,0,1,1,1,0
Kann ich mit meiner GmbH Mehrheitseigner einer AG sein?,1,1,1,1,0
Was sind die Gesellschafter einer GmbH?,1,0,1,1,0
Ist ein Geschäftsführer ein Gesellschafter?,0,0,1,1,0
Wie haftet ein Gesellschafter einer GmbH?,1,0,1,1,0
Was ist ein geschäftsführender Gesellschafter?,0,0,1,1,0
Was versteht man unter Stammeinlage?,0,0,1,1,0
Wer haftet bei GmbH & CO KG?,1,0,0,1,0
Wer ist der gesetzliche Vertreter einer GmbH?,1,0,0,1,0
Ist ein Gesellschafter ein Unternehmer?,0,0,1,1,0
Ist ein Aktionär ein Gesellschafter?,0,0,1,1,0
Ist ein Kommanditist ein Gesellschafter?,0,0,1,1,0
Was bedeutet Stammkapital bei GmbH?,1,0,0,1,0
Wie hoch ist das Stammkapital einer GmbH?,1,0,0,1,0
Kann das Stammkapital einer GmbH verwendet werden?,1,0,0,1,0
Was macht ein Aktionär?,0,0,1,1,0
Sind Aktionäre Eigentümer?,0,0,1,1,0
Ist eine GmbH eine juristische Person?,1,0,0,1,0
Was bedeutet GmbH & CO KG?,1,0,0,1,0
Wer ist Inhaber einer GmbH & CO KG?,1,0,0,1,0
Ist eine GmbH & Co KG eine juristische Person?,1,0,0,1,0
Wer haftet für die GmbH?,1,0,0,1,0
Was kostet es eine GmbH zu gründen?,1,0,0,1,0
Wie gründet man eine GmbH in Deutschland?,1,0,0,1,0
Was bedeutet es Gesellschafter zu sein?,0,0,1,1,0
Ist ein Gesellschafter ein Geschäftsführer?,0,0,1,1,0
Was braucht man alles für eine GmbH?,1,0,0,1,0
Wie lange dauert es eine GmbH zu gründen?,1,0,0,1,0
Was kostet es eine Mini GmbH zu gründen?,1,0,0,1,0
Wie haften Geschäftsführer einer GmbH?,1,0,0,1,0
Was ist eine UG gründen?,1,0,0,1,0
Was ist eine UG haftungsbeschränkt?,1,0,0,1,0
Was ist ein Musterprotokoll GmbH?,1,0,0,1,0
Was versteht man unter dem Stammkapital einer GmbH?,1,0,0,1,0
Was ist nötig um eine GmbH zu gründen?,1,0,0,1,0
Was sind die Vorteile einer GmbH?,1,0,0,1,0
Wie entsteht eine GmbH?,1,0,0,1,0
Was ist ein Gesellschafter in einer Firma?,0,0,1,1,0
Wer ist der Inhaber einer GmbH?,1,0,0,1,0
Was ist ein Minderheitsgesellschafter?,0,0,1,1,0
Was macht eine GmbH aus?,1,0,0,1,0
Kann eine GmbH von einer Person gegründet werden?,1,0,0,1,0
Wie viel Steuern zahlt eine GmbH?,1,0,0,1,0
Was ist ein Geschäftsanteil?,0,0,1,1,0
Hat eine GmbH eine Satzung?,1,0,0,1,0
Wer haftet bei der UG?,1,0,0,1,0
Was ist der Unterschied zwischen GmbH und UG?,1,0,0,1,0
Welche Steuern zahlt eine UG?,1,0,0,1,0
Was bedeutet eine UG?,1,0,0,1,0
Was ist eine UG eine Personengesellschaft?,1,0,0,1,0
Was gibt es für Gesellschaftsformen?,1,1,0,1,0
Welche Gesellschaftsformen?,1,1,0,1,0
Wie wird eine GmbH besteuert?,1,0,0,1,0
Welche Rechtsform hat eine UG?,1,0,0,1,0
Was bedeutet das Wort haftungsbeschränkt?,1,1,0,1,0
Hat eine GmbH einen Aufsichtsrat?,1,0,0,1,0
Wer sind die Gesellschafter einer AG?,1,0,1,1,0
Kann eine GmbH Gesellschafter in einer GmbH sein?,1,0,1,1,0
Hat die GmbH einen Vorstand?,1,0,0,1,0
Wer ist gesetzlicher Vertreter einer AG?,1,0,0,1,0
Wer bestimmt den Aufsichtsrat?,0,1,0,1,0
Wer haftet bei der AG?,0,1,0,1,0
Wer vertritt die AG?,0,1,0,1,0
Was sind die Organe einer GmbH?,1,0,0,1,0
Welche Rechte hat man als Aktionär?,0,0,1,1,0
Wie hoch muss das Grundkapital einer AG sein?,0,1,0,1,0
Wie setzt sich das Grundkapital einer AG zusammen?,0,1,0,1,0
Hat eine AG Gesellschafter?,0,1,0,1,0
Ist ein Aktionär Gesellschafter?,0,0,1,1,0
Wie nennt man Inhaber einer AG?,0,1,0,1,0
Wer ist der Geschäftsführer einer AG?,0,1,0,1,0
Was macht der Aufsichtsrat einer AG?,0,1,0,1,0
Was macht der Vorstand einer AG?,0,1,0,1,0
Was macht der Vorstand?,0,1,0,1,0
Was sind die Organe einer AG?,0,1,0,1,0
Was bedeutet Kooptierter Vorstand?,0,1,0,1,0
Was machen Aufsichtsräte?,0,1,0,1,0
Wann wurde die erste Aktiengesellschaft gegründet?,0,1,0,1,0
Was ist der Vorstand einer AG?,0,1,0,1,0
Ist eine Aktiengesellschaft ein Unternehmen?,0,1,0,1,0
Was ist die Dividende bei Aktien?,0,0,1,1,0
Ist eine AG eine Kapitalgesellschaft?,0,1,0,1,0
Was bedeutet ag und GmbH?,1,1,0,1,0
Ist Google eine Aktiengesellschaft?,0,1,0,1,0
